activity_results_id,workout_activity_id,workout_item_id,distancedone,speeddone,timedone,deleted,wactivity_id,wactivity_repetition_id,wactivity_type,wactivity_time,wactivity_distance,wactivity_speed,wactivity_label,wactivity_comment,wactivity_read_comment,wactivity_pace,wactivity_percentage,wactivity_seq,wactivity_deleted
155339,143743,27054,1000,10.529671737483584,341891,0,143743,139798,DISTANCE_TIME,355,1000,NULL,RUNNING,NULL,1,355,85,1,0
155340,143744,27054,71.41540420986712,2.1424621262960137,120000,0,143744,139798,TIME,120,0,NULL,REST,,1,0,0,2,0
155341,143743,27054,1000,10.479952723768823,343513,0,143743,139798,DISTANCE_TIME,355,1000,NULL,RUNNING,NULL,1,355,85,1,0
155342,143744,27054,135.38580213300884,4.061574063990265,120000,0,143744,139798,TIME,120,0,NULL,REST,,1,0,0,2,0
155343,143743,27054,1000,9.90033661144479,363624,0,143743,139798,DISTANCE_TIME,355,1000,NULL,RUNNING,NULL,1,355,85,1,0
155344,143744,27054,30.717955196625553,0.9215386558987666,120000,0,143744,139798,TIME,120,0,NULL,REST,,1,0,0,2,0
155345,143743,27054,1000,10.17699490302172,353739,0,143743,139798,DISTANCE_TIME,355,1000,NULL,RUNNING,NULL,1,355,85,1,0
155346,143744,27054,123.01347670517862,3.6904043011553584,120000,0,143744,139798,TIME,120,0,NULL,REST,,1,0,0,2,0
155347,143745,27054,1593.5300388634205,9.561180233180522,600000,0,143745,139799,TIME,600,0,NULL,RUNNING,,1,0,0,1,0
155348,143746,27054,48.17757921363227,0.5781309505635872,300000,0,143746,139800,TIME,300,0,NULL,REST,"recupera al passo fai stratching",1,0,0,6,0
155349,143873,27054,1.7618552250787616,0.22982385717383655,27598,0,143873,139918,EXTRA,0,0,0,UNKNOWN,,1,0,100,1,0
160278,143733,27907,814.0434119999409,9.76852094399929,300000,0,143733,139788,TIME,300,0,NULL,RUNNING,,1,0,0,1,0
160279,143734,27907,1299.5634016990662,9.746725512742996,480000,0,143734,139789,TIME,480,0,NULL,RUNNING,"fai degli allunghi con recupero in corsa lenta",1,0,0,6,0
160280,143735,27907,209.82340934942476,4.196468186988495,180000,0,143735,139790,TIME,180,0,NULL,REST,"recupera al passo fai stratching",1,0,0,1,0
